Gene,Entrez,P-value,Multiple testing corrected p-value,Z-score,Twist1,Control,Quantity,Human orthologue
Aldoc,11676.0,3.18163505993339e-08,5.28151419948943e-06,-5.53113600749933,1072.49265927819,3235.62081576284,-1.59307477425357,ALDOC
Gabrp,216643.0,3.22642435517532e-08,5.30761339869381e-06,-5.52868371354371,1052.69594638957,4046.69487579556,-1.94265527447932,GABRP
Samhd1,56045.0,3.39570222858911e-08,5.53620738339617e-06,-5.51970449121669,3837.15823470243,10202.9265469851,-1.41087286127645,SAMHD1
Ccdc3,74186.0,3.73775641949601e-08,6.03994975398205e-06,5.50281449886984,353.940020392457,32.2852516196459,3.45455772203374,CCDC3
Itgb5,16419.0,4.19783442152356e-08,6.72389969622984e-06,5.48232024745214,2138.49935699066,681.950110326115,1.64886066896788,ITGB5
Abhd2,54608.0,4.42499330648586e-08,7.02611980664624e-06,5.47299230642791,8749.59669636143,3494.050368327,1.32431611342661,ABHD2
Prkd1,18760.0,5.68059516782273e-08,8.94204032452095e-06,5.42857444205278,768.700117794294,170.686858669369,2.17106890125248,PRKD1
Atp6v1c2,68775.0,5.99100503137362e-08,9.35006426263951e-06,-5.41906942857951,110.524713154435,571.379893456716,-2.37008127946454,ATP6V1C2
Tpcn1,252972.0,6.14629838071694e-08,9.5111363077874e-06,5.41449190492471,3985.01955958321,1483.99788080079,1.4250977736384,TPCN1
Pdzk1ip1,67182.0,6.65606671732672e-08,1.02134267444022e-05,-5.40021610387894,143.633444374448,1211.2077747232,-3.07598275293359,PDZK1IP1
Gli2,14633.0,6.77153084715681e-08,1.03040127724236e-05,5.39713004497993,408.069643457962,66.2584989300089,2.62263796665008,GLI2
Mrc2,17534.0,8.0357869555692e-08,1.21267330420408e-05,5.36632325343008,990.613976541792,251.006682123985,1.98059720495179,MRC2
Zcchc24,71918.0,8.17482515573519e-08,1.22354350281741e-05,5.36322681115078,1199.42356987522,337.743243135709,1.82834241608754,ZCCHC24
Prkaa2,108079.0,8.87691550998121e-08,1.31782501798583e-05,-5.34833070531239,1048.77728654337,2997.40468977768,-1.51500553370998,PRKAA2
Osgin2,209212.0,9.23620764355352e-08,1.36010606105877e-05,-5.34114355625877,744.2630838021,2500.35820869291,-1.74825021072836,OSGIN2
Idh1,15926.0,9.68935172195877e-08,1.41542049954374e-05,-5.33245550279612,775.511559375495,2327.0848686594,-1.58530363611012,IDH1
Cenpf,108000.0,1.19649298050892e-07,1.73396522413436e-05,-5.29403075353305,191.23496263316,779.391133160495,-2.02700120968551,CENPF
Dlx3,13393.0,1.24171554593746e-07,1.78533274557622e-05,5.28724607077744,1189.41872480929,216.612852695978,2.45706594037446,DLX3
Inf2,70435.0,1.28954906448457e-07,1.83962233730377e-05,5.28032504830156,1616.57625162829,555.253298365953,1.54172359602693,INF2
Me1,17436.0,1.332270789374e-07,1.88583446619917e-05,-5.27435048922292,1580.18311797793,4229.92004476811,-1.42053863994711,ME1
St3gal4,20443.0,1.72095977240386e-07,2.41728657262265e-05,5.22720036167162,207.37256361818,11.827325743343,4.13202922100053,ST3GAL4
Egfl6,54156.0,1.75216241547442e-07,2.44232715317274e-05,5.22387589006871,332.887856131199,45.1640276380033,2.88179018777381,EGFL6
Arhgef6,73341.0,1.83879429122697e-07,2.54366543619731e-05,-5.21493729209973,2709.59832067075,6905.38991828081,-1.3496438818901,ARHGEF6
2610528A11Rik,70045.0,2.263923246253e-07,3.10821341929171e-05,-5.17624813109315,39.6970590335112,331.479182057539,-3.06181423334612,C10orf99
Cck,12424.0,2.6753534532093e-07,3.64566821310461e-05,-5.14498980102937,44.6927727962561,388.782448607788,-3.12084963140586,CCK
Tmem200b,623230.0,2.71759552263241e-07,3.67579957357539e-05,5.14204807443881,545.308717056955,122.889826302118,2.14970773385729,TMEM200B
Lhfpl2,218454.0,2.86820006698449e-07,3.85098038405418e-05,5.13190779484941,1301.94605343441,393.459902505936,1.72638114789372,LHFPL2
Pdzd2,68070.0,3.07411139739586e-07,4.09731927857288e-05,-5.11884581881178,1893.4286515579,4834.98452068754,-1.3525102124775,PDZD2
Trpv4,63873.0,3.61532145569547e-07,4.78375143340575e-05,5.08817161235611,671.496192140453,165.814916478318,2.01780542306942,TRPV4
Cited2,17684.0,3.75160571704111e-07,4.9283683736094e-05,-5.08114805186057,1709.20460487295,4514.45439938544,-1.40122653035189,CITED2
Ankrd44,329154.0,3.85823606193554e-07,5.0322421779245e-05,5.07582237103397,672.657287111329,139.232577746267,2.27237483817731,ANKRD44
Nt5e,23959.0,3.93281521388797e-07,5.09313516351733e-05,5.0721812550081,923.072789119485,249.036723818791,1.89008591361574,NT5E
Vdr,22337.0,4.31106975499984e-07,5.54367138917585e-05,5.05468266433438,13019.7961794102,5551.12717808401,1.22985421257644,VDR
Ckmt1,12716.0,4.66118649557153e-07,5.95197660203749e-05,5.03975891172735,5640.00331641835,2152.54923822027,1.38964977220552,CKMT1B;CKMT1A
Nudt4,71207.0,5.07551064522864e-07,6.43602947096354e-05,-5.02343613897122,907.878084161047,2437.69999498962,-1.42495010495953,NUDT4
Them5,66198.0,5.18502918893874e-07,6.52956089586354e-05,-5.01933636203784,239.984526413042,894.813333072847,-1.89864536572905,THEM5
Vtcn1,242122.0,5.3976882954538e-07,6.75080741609496e-05,-5.01160868456812,997.898381197449,2693.26395409435,-1.43239081404759,VTCN1
Fras1,231470.0,5.64228281234387e-07,7.00871320771422e-05,5.00307550621027,1752.27138008277,586.807373697126,1.57826732237281,FRAS1
Rb1,19645.0,5.68395584440998e-07,7.0127725485761e-05,-5.00165731431616,4727.19731755131,12196.8668038463,-1.36745359771001,RB1
Vasn,246154.0,5.82425818042964e-07,7.13764794460706e-05,4.9969552348553,2912.62513852373,1173.69376824286,1.31126399538824,VASN
Slc25a36,192287.0,5.91621157510095e-07,7.20200155742289e-05,-4.99393239150305,866.102468898066,2778.7660957993,-1.68183477404461,SLC25A36
Slc5a8,216225.0,6.13578240258938e-07,7.41700426884632e-05,-4.98689363006978,2410.29641221158,5909.32191037865,-1.2937820154961,SLC5A8
Prom1,19126.0,6.17406708031019e-07,7.41700426884632e-05,4.98569125337377,1175.23894444643,357.854390840614,1.71550952245207,PROM1
Crip1,12925.0,6.99939961054792e-07,8.35353182278464e-05,4.96138030702657,1276.59944036711,408.71978898316,1.64312191934301,CRIP1
Emp3,13732.0,7.0875968754706e-07,8.40386486662943e-05,4.95894790365236,778.635470230116,230.934017515786,1.75346736362575,EMP3
Sdc3,20970.0,7.24748296835603e-07,8.53800251626975e-05,4.95461181733027,2725.21028609486,1042.28178266602,1.38662219180362,SDC3
2010111I01Rik,72061.0,8.00943990202585e-07,9.37515209044821e-05,4.93513728937446,5242.16380550015,2306.92210259542,1.18419314562415,C9orf3
Thbs2,21826.0,8.3551073978279e-07,9.65971007869963e-05,4.92688458225141,1356.25951845064,429.545156545324,1.65875155284549,THBS2
Mxra8,74761.0,8.35834716557799e-07,9.65971007869963e-05,4.92680880017697,1089.66938012951,352.420625030617,1.6285202049586,MXRA8
1600029D21Rik,76509.0,8.86207568151288e-07,0.000101774529524796,-4.91535713561726,6425.49469150961,14904.0006309071,-1.21382020532231,C11orf34
Vcan,13003.0,9.14723369515854e-07,0.000104392804545997,4.90914926602677,9063.89797533308,3844.98679407462,1.23715297890654,VCAN
Alcam,11658.0,9.39843083366202e-07,0.000106593383243893,-4.90383319410205,782.082433814876,2073.89639212201,-1.40695123667132,ALCAM
St8sia2,20450.0,9.59086101019755e-07,0.000108104396324819,4.89985254212846,2237.76368893893,622.673106239036,1.84551081919448,ST8SIA2
Lrg1,76905.0,9.65156199867353e-07,0.000108121179199864,-4.89861281088071,1440.3462946225,5880.77561046557,-2.02959073073563,LRG1
Wisp1,22402.0,1.03803112753651e-06,0.000115575904809858,4.88428827792861,473.252706865744,87.4866714734603,2.43547561241409,WISP1
Ccl2,20296.0,1.10042630497958e-06,0.000121780511084407,4.87277301407466,267.356305969516,29.275950465534,3.19097579033421,CCL2
Efnb2,13642.0,1.14604082145929e-06,0.000126064490360522,4.86474566301707,1966.57302759207,724.176470037004,1.44127055435202,EFNB2
Tgfbr2,21813.0,1.26630082933463e-06,0.000138459000860182,4.84497114208221,5458.6002142639,2215.74333983941,1.30074026174463,TGFBR2
Cxcl12,20315.0,1.275305418209e-06,0.000138613553193431,4.84356411687051,4168.8445124531,1137.03585265233,1.87436981865982,CXCL12
Capn6,12338.0,1.30126383519078e-06,0.000140598092488661,4.83956079205217,670.990695891857,118.916052979673,2.49634927810955,CAPN6
Ntng1,80883.0,1.34376123538119e-06,0.00014433576563565,-4.83316973251807,187.899436364045,707.262433092033,-1.91228489407893,NTNG1
Zyx,22793.0,1.45858618465805e-06,0.000155753121238924,4.81682758206749,6989.80823971367,3051.48676858186,1.19574054204029,ZYX
Prrx2,20204.0,1.51446325539181e-06,0.000160779645601479,4.80931772078772,195.874066596889,17.0981615627401,3.51801328343722,PRRX2
Csmd1,94109.0,1.83240776955539e-06,0.000193409051283708,-4.77107995726456,105.947062799061,490.711439504522,-2.21153131200662,CSMD1
Dnaja4,58233.0,1.97374467354788e-06,0.000207129757120599,-4.75609412833455,357.961489664833,1083.7302960549,-1.59812947074884,DNAJA4
St5,76954.0,2.09897722594384e-06,0.000219013280832769,4.74365353364445,3377.55471684218,1377.64667873599,1.29377321015255,ST5
Nes,18008.0,2.15756578213476e-06,0.000223847449896481,4.73807630252919,2162.23729934013,862.102561478762,1.32659344612802,NES
Acta2,11475.0,2.30360483821543e-06,0.000237648725117592,-4.72478363955668,6446.42443770523,14154.4327532261,-1.13468284877041,ACTA2
Apod,11815.0,2.34142011651081e-06,0.000240192872626334,4.72147361275789,2022.81259326678,775.003012814036,1.38408884131148,APOD
Hsd17b7,15490.0,2.49804550539661e-06,0.00025482855267342,4.70828917458617,803.389611219311,204.480488506051,1.97413661773035,HSD17B7
Hspb1,15507.0,2.55635974045512e-06,0.000259328493670614,4.70358230478879,1983.26536151457,784.944380717087,1.33721538670576,HSPB1
Dkk3,50781.0,2.62968596858145e-06,0.000265293181139764,4.69780788924779,1287.50899026561,431.783635807318,1.5762020334841,DKK3
Celf2,14007.0,2.67479183897292e-06,0.000267435650918143,-4.69433210785613,998.502307618085,2471.38179349303,-1.30748023687124,CELF2
Aspm,12316.0,2.68021490241074e-06,0.000267435650918143,-4.69391801020265,184.492791808765,709.481546644313,-1.94320070996407,ASPM
Rnase1,19752.0,2.92728507093076e-06,0.00029050122497389,-4.67585702667463,61.242202429804,482.782836365816,-2.97877631512019,RNASE1
Igsf10,242050.0,3.12367656456839e-06,0.000308315319291994,4.66251543125426,8086.01940135688,1863.27030526937,2.11759268344179,IGSF10
Snai1,20613.0,3.16768757145425e-06,0.000310046854494881,4.65963618872737,296.784988694399,46.5027158145183,2.67403124375478,SNAI1
Antxr1,69538.0,3.17517863036926e-06,0.000310046854494881,4.65914994115559,3143.37255966073,1217.04326374324,1.36893281953667,ANTXR1
Ehf,13661.0,3.19741155990063e-06,0.000310557101509497,-4.65771324524497,5257.65667478688,12810.4023704569,-1.28482394886583,EHF
Serinc2,230779.0,3.61829098878408e-06,0.000349576684948134,4.63218357353011,6608.86224466767,3080.35673650731,1.1013044851999,SERINC2
Slc34a2,20531.0,4.1228836419867e-06,0.000396230817382511,-4.60508957139944,2000.7014977289,4740.30538376673,-1.24447406965348,SLC34A2
Galm,319625.0,4.29030888359359e-06,0.000410162514211618,-4.59679912011081,140.876785431897,569.735020265459,-2.01585719317357,GALM
Myof,226101.0,4.52303682525399e-06,0.000430159648068426,4.58577583760018,11548.7532547358,5363.62440839243,1.10645699380606,MYOF
Fn1,14268.0,4.64455955656114e-06,0.000439428277216613,4.58023401405732,21664.2072857915,6783.29187109643,1.67525597251576,FN1
Bnc2,242509.0,5.32307102120101e-06,0.00050102720024294,4.55163466189066,374.825000894635,56.9725635237494,2.71787795628349,BNC2
Atp10b,319767.0,5.41428897149039e-06,0.000506999572407254,-4.54805926674087,1487.4927141459,3538.14077457181,-1.2501088487175,ATP10B
Wisp2,22403.0,5.64681191999105e-06,0.000526075437035901,-4.53919976903594,392.466564224111,1163.99940745262,-1.56844866835927,WISP2
